user_id,item_id,rating,timestamp
1,10,5,2024-08-15 09:32:18
1,14,4,2024-09-02 16:45:33
1,25,5,2024-07-18 14:22:47
2,3,5,2024-05-30 20:15:42
2,13,4,2024-06-12 12:37:59
2,20,5,2024-04-08 18:54:11
3,19,5,2024-09-14 10:23:05
3,23,4,2024-08-27 19:46:38
3,12,3,2024-10-01 15:39:22
4,4,5,2024-05-18 11:27:50
4,22,4,2024-06-29 13:42:16
4,28,3,2024-07-10 18:35:29
5,7,4,2024-08-05 09:14:53
5,10,5,2024-09-18 21:07:36
5,19,4,2024-10-02 17:32:41
6,12,5,2024-07-25 14:18:32
6,16,4,2024-08-13 16:29:45
6,6,5,2024-09-06 10:45:27
7,11,4,2024-05-07 19:37:52
7,13,5,2024-06-20 12:24:38
7,28,4,2024-07-14 17:53:19
8,18,5,2024-09-27 10:14:52
8,19,5,2024-08-15 14:36:28
8,9,4,2024-10-05 16:47:33
9,5,4,2024-06-08 09:23:47
9,23,5,2024-07-21 13:59:32
9,29,4,2024-08-10 18:42:15
10,1,3,2024-09-19 11:28:36
10,8,4,2024-10-03 15:47:22
10,17,5,2024-08-24 17:32:49
11,14,5,2024-07-03 10:15:43
11,6,4,2024-08-17 14:29:58
11,16,5,2024-09-08 16:37:21
12,18,5,2024-05-25 19:42:34
12,9,4,2024-06-11 12:53:47
12,24,5,2024-07-28 17:14:36
13,2,5,2024-08-14 09:36:42
13,15,4,2024-09-22 13:47:58
13,20,5,2024-10-04 16:23:19
14,19,4,2024-06-16 11:34:27
14,23,5,2024-07-05 15:49:32
14,29,4,2024-08-19 18:27:45
15,10,5,2024-09-13 14:32:17
15,18,4,2024-05-21 17:45:38
15,7,5,2024-06-30 10:59:42
16,3,4,2024-07-12 14:25:36
16,13,5,2024-08-28 19:38:47
16,16,4,2024-09-10 12:43:25
17,21,5,2024-06-19 16:52:38
17,26,4,2024-10-01 10:14:43
17,17,3,2024-08-03 15:27:19
18,5,4,2024-09-17 19:46:32
18,27,5,2024-07-29 12:38:15
18,12,4,2024-05-14 17:54:27
19,10,5,2024-06-27 09:23:41
19,19,4,2024-08-08 13:42:56
19,30,5,2024-09-24 16:15:37
20,8,4,2024-10-06 11:32:48
20,17,5,2024-07-17 14:47:23
20,22,4,2024-08-30 18:59:36
21,2,5,2024-05-28 13:27:42
21,11,4,2024-09-15 16:38:54
21,21,5,2024-06-04 10:45:19
22,7,3,2024-07-22 14:56:32
22,14,4,2024-08-11 19:23:47
22,30,5,2024-09-28 12:34:18
23,4,5,2024-10-09 15:47:32
23,22,4,2024-06-13 17:52:46
23,27,5,2024-07-26 10:39:21
24,1,5,2024-08-07 13:48:35
24,8,4,2024-09-29 16:57:42
24,28,5,2024-05-16 19:28:53
25,3,4,2024-06-28 11:35:47
25,20,5,2024-08-04 14:42:19
25,13,4,2024-09-21 17:53:28
26,1,5,2024-07-08 09:42:36
26,8,4,2024-05-19 12:57:43
26,17,5,2024-10-08 15:28:19
27,6,4,2024-09-11 18:34:52
27,11,5,2024-07-23 21:45:36
27,16,4,2024-06-05 13:27:49
28,15,5,2024-08-18 16:38:24
28,24,4,2024-09-30 10:47:35
28,2,5,2024-05-23 14:52:18
29,19,4,2024-07-15 17:36:29
29,23,5,2024-08-26 19:45:43
29,12,3,2024-10-10 13:32:16
30,4,5,2024-06-09 15:48:27
30,22,4,2024-09-03 18:56:34
30,27,5,2024-07-31 11:23:49
31,34,5,2024-08-16 14:27:18
31,90,4,2024-09-05 11:35:42
31,48,5,2024-10-12 16:42:37
32,63,4,2024-07-19 09:23:15
user_id,item_id,rating,timestamp
1,10,5,2024-08-15 09:32:18
1,14,4,2024-09-02 16:45:33
1,25,5,2024-07-18 14:22:47
2,3,5,2024-05-30 20:15:42
2,13,4,2024-06-12 12:37:59
2,20,5,2024-04-08 18:54:11
3,19,5,2024-09-14 10:23:05
3,23,4,2024-08-27 19:46:38
3,12,3,2024-10-01 15:39:22
4,4,5,2024-05-18 11:27:50
4,22,4,2024-06-29 13:42:16
4,28,3,2024-07-10 18:35:29
5,7,4,2024-08-05 09:14:53
5,10,5,2024-09-18 21:07:36
5,19,4,2024-10-02 17:32:41
6,12,5,2024-07-25 14:18:32
6,16,4,2024-08-13 16:29:45
6,6,5,2024-09-06 10:45:27
7,11,4,2024-05-07 19:37:52
7,13,5,2024-06-20 12:24:38
7,28,4,2024-07-14 17:53:19
8,18,5,2024-09-27 10:14:52
8,19,5,2024-08-15 14:36:28
8,9,4,2024-10-05 16:47:33
9,5,4,2024-06-08 09:23:47
9,23,5,2024-07-21 13:59:32
9,29,4,2024-08-10 18:42:15
10,1,3,2024-09-19 11:28:36
10,8,4,2024-10-03 15:47:22
10,17,5,2024-08-24 17:32:49
11,14,5,2024-07-03 10:15:43
11,6,4,2024-08-17 14:29:58
11,16,5,2024-09-08 16:37:21
12,18,5,2024-05-25 19:42:34
12,9,4,2024-06-11 12:53:47
12,24,5,2024-07-28 17:14:36
13,2,5,2024-08-14 09:36:42
13,15,4,2024-09-22 13:47:58
13,20,5,2024-10-04 16:23:19
14,19,4,2024-06-16 11:34:27
14,23,5,2024-07-05 15:49:32
14,29,4,2024-08-19 18:27:45
15,10,5,2024-09-13 14:32:17
15,18,4,2024-05-21 17:45:38
15,7,5,2024-06-30 10:59:42
16,3,4,2024-07-12 14:25:36
16,13,5,2024-08-28 19:38:47
16,16,4,2024-09-10 12:43:25
17,21,5,2024-06-19 16:52:38
17,26,4,2024-10-01 10:14:43
17,17,3,2024-08-03 15:27:19
18,5,4,2024-09-17 19:46:32
18,27,5,2024-07-29 12:38:15
18,12,4,2024-05-14 17:54:27
19,10,5,2024-06-27 09:23:41
19,19,4,2024-08-08 13:42:56
19,30,5,2024-09-24 16:15:37
20,8,4,2024-10-06 11:32:48
20,17,5,2024-07-17 14:47:23
20,22,4,2024-08-30 18:59:36
21,2,5,2024-05-28 13:27:42
21,11,4,2024-09-15 16:38:54
21,21,5,2024-06-04 10:45:19
22,7,3,2024-07-22 14:56:32
22,14,4,2024-08-11 19:23:47
22,30,5,2024-09-28 12:34:18
23,4,5,2024-10-09 15:47:32
23,22,4,2024-06-13 17:52:46
23,27,5,2024-07-26 10:39:21
24,1,5,2024-08-07 13:48:35
24,8,4,2024-09-29 16:57:42
24,28,5,2024-05-16 19:28:53
25,3,4,2024-06-28 11:35:47
25,20,5,2024-08-04 14:42:19
25,13,4,2024-09-21 17:53:28
26,1,5,2024-07-08 09:42:36
26,8,4,2024-05-19 12:57:43
26,17,5,2024-10-08 15:28:19
27,6,4,2024-09-11 18:34:52
27,11,5,2024-07-23 21:45:36
27,16,4,2024-06-05 13:27:49
28,15,5,2024-08-18 16:38:24
28,24,4,2024-09-30 10:47:35
28,2,5,2024-05-23 14:52:18
29,19,4,2024-07-15 17:36:29
29,23,5,2024-08-26 19:45:43
29,12,3,2024-10-10 13:32:16
30,4,5,2024-06-09 15:48:27
30,22,4,2024-09-03 18:56:34
30,27,5,2024-07-31 11:23:49
31,34,5,2024-08-16 14:27:18
31,90,4,2024-09-05 11:35:42
31,48,5,2024-10-12 16:42:37
32,63,4,2024-07-19 09:23:15
71,76,5,2024-07-10 12:37:48
71,33,4,2024-08-17 16:48:27
71,59,3,2024-09-04 09:36:48
72,5,5,2024-05-20 14:42:38
72,88,4,2024-08-01 17:35:46
72,42,5,2024-09-16 12:28:37
73,14,5,2024-06-13 09:47:38
73,30,4,2024-08-27 14:36:29
73,95,4,2024-10-11 17:43:48
74,2,5,2024-07-15 10:38:27
74,15,4,2024-08-29 15:47:36
74,94,5,2024-09-09 12:36:45
75,20,5,2024-05-18 16:42:38
75,3,4,2024-08-06 09:53:27
75,67,4,2024-09-22 14:38:49
76,71,5,2024-06-20 17:37:48
76,26,4,2024-08-11 10:48:36
76,49,5,2024-10-08 15:36:29
77,9,5,2024-07-05 12:42:38
77,24,4,2024-08-21 16:35:47
77,61,4,2024-09-14 09:28:36
78,19,5,2024-05-02 14:37:48
78,30,5,2024-08-18 17:46:28
78,51,4,2024-09-27 12:38:47
79,35,5,2024-06-24 09:42:38
79,7,4,2024-08-15 14:36:28
79,39,5,2024-10-06 17:48:36
80,81,5,2024-07-29 10:37:48
80,6,4,2024-08-13 15:28:37
80,16,3,2024-09-01 12:46:38
81,97,5,2024-05-11 16:37:28
81,31,4,2024-08-02 09:46:38
81,51,5,2024-09-19 14:28:37
82,72,5,2024-06-26 17:42:38
82,44,4,2024-08-19 10:36:27
82,86,4,2024-10-05 15:48:36
83,18,5,2024-07-20 12:37:48
83,41,4,2024-08-14 16:28:37
83,63,5,2024-09-08 09:46:28
84,3,4,2024-05-05 14:42:38
84,13,5,2024-08-22 17:36:29
84,46,5,2024-09-30 12:48:37
85,35,5,2024-06-01 09:37:48
85,70,4,2024-08-25 14:28:36
85,10,4,2024-10-13 17:36:48
86,6,5,2024-07-17 10:42:38
86,16,4,2024-08-08 15:36:27
86,48,3,2024-09-05 12:47:36
87,9,5,2024-05-23 16:37:48
87,24,4,2024-08-10 09:28:36
87,61,5,2024-09-23 14:46:38
88,42,5,2024-06-06 17:42:38
88,5,4,2024-08-29 10:36:27
88,88,4,2024-10-15 15:48:36
89,13,5,2024-07-11 12:37:48
89,3,4,2024-08-03 16:28:36
89,20,5,2024-09-11 09:46:38
90,82,5,2024-05-25 14:42:38
90,35,4,2024-08-12 17:36:29
90,10,4,2024-09-28 12:48:37
91,14,5,2024-06-21 09:37:48
91,30,5,2024-08-26 14:28:36
91,95,4,2024-10-11 17:36:48
92,56,5,2024-07-07 10:42:38
92,93,4,2024-08-30 15:36:27
92,49,3,2024-09-13 12:47:36
93,61,5,2024-05-31 16:37:48
93,9,4,2024-08-16 09:28:36
93,24,5,2024-09-02 14:46:38
94,60,5,2024-06-28 17:42:38
94,20,4,2024-08-05 10:36:27
94,3,4,2024-10-01 15:48:36
95,89,5,2024-07-14 12:37:48
95,38,4,2024-08-24 16:28:36
95,71,5,2024-09-10 09:46:38
96,44,5,2024-05-08 14:42:38
96,11,4,2024-08-20 17:36:29
96,86,4,2024-09-07 12:48:37
97,53,5,2024-06-16 09:37:48
97,4,4,2024-08-28 14:28:36
97,22,3,2024-10-09 17:36:48
98,32,5,2024-07-02 10:42:38
98,14,4,2024-08-21 15:36:27
98,69,5,2024-09-04 12:47:36
99,18,5,2024-05-17 16:37:48
99,41,4,2024-08-04 09:28:36
99,74,5,2024-09-21 14:46:38
100,81,4,2024-06-04 17:42:38
100,6,5,2024-08-13 10:36:27
100,16,4,2024-10-12 15:48:36